Ticker,Mean,Volatility
IEF,0.020501589317893205,0.07042473547731645
QQQ,0.17225287867021216,0.22313308447931207
VNQ,0.07607069428685277,0.2992071215270902
EFA,0.05521797972959691,0.21820041044168842
XLV,0.10613481825954721,0.17271484568333031
TLT,0.0317078963625048,0.15273690636323034
IWM,0.10302137200014225,0.24891717789759976
BND,0.015798171541364186,0.05278831568116036
XLE,0.1018694802496031,0.3047634259939564
EEM,0.07581226236333348,0.2819933125904706
DBC,0.019365032142952043,0.192288906749378
AGG,0.014770113308724044,0.05493044691618113
SPY,0.1168477366434764,0.1982056463576345
SHY,0.006735224637920255,0.01607604227286418
XLK,0.1698236795073682,0.23269807214419722
XLF,0.09118911929027954,0.30529142668951736
GLD,0.11679612479608441,0.17800256616484578
VTI,0.11407588392681424,0.20016453847037327
LQD,0.024271764634327266,0.08964897172869327
SLV,0.1390245247576894,0.3228901423342814
